question,intent,subject,topic
Compare arrays and linked lists,Comparison,Data Structures,Array vs Linked List
Explain arrays and compare them with linked lists,Explanation|Comparison,Data Structures,Array vs Linked List
What is a stack?,Definition,Data Structures,Stack
What is a queue?,Definition,Data Structures,Queue
Compare stack and queue,Comparison,Data Structures,Stack vs Queue
Explain stack and queue with examples,Explanation|Example,Data Structures,Stack vs Queue
What is recursion?,Definition,Data Structures,Recursion
Explain recursion with an example,Explanation|Example,Data Structures,Recursion
What is a graph?,Definition,Data Structures,Graphs
Explain graphs and give an example,Explanation|Example,Data Structures,Graphs
What is searching in data structures?,Definition,Data Structures,Searching
Explain binary search,Explanation,Data Structures,Searching
What is sorting?,Definition,Data Structures,Sorting
Explain sorting and give an example,Explanation|Example,Data Structures,Sorting
What is SQL?,Definition,SQL,SQL Basics
Explain SQL queries,Explanation,SQL,SQL Queries
What are SQL joins?,Definition,SQL,Joins
Explain SQL joins and give an example,Explanation|Example,SQL,Joins
Compare INNER JOIN and LEFT JOIN,Comparison,SQL,Joins
Explain SQL joins and compare INNER JOIN and LEFT JOIN,Explanation|Comparison,SQL,Joins
What is a subquery?,Definition,SQL,Subqueries
Explain subqueries with an example,Explanation|Example,SQL,Subqueries
What are SQL string functions?,Definition,SQL,String Functions
Explain SQL string functions and give examples,Explanation|Example,SQL,String Functions
What is GROUP BY in SQL?,Definition,SQL,GROUP BY
Explain GROUP BY and give an example,Explanation|Example,SQL,GROUP BY
What is percentage?,Definition,Mathematics,Percentage
Explain percentage with an example,Explanation|Example,Mathematics,Percentage
Solve this percentage problem,Problem Solving,Mathematics,Percentage
Give revision notes for percentage,Revision,Mathematics,Percentage
What is profit and loss?,Definition,Mathematics,Profit and Loss
Solve this profit percentage problem,Problem Solving,Mathematics,Profit and Loss
Explain profit and loss with an example,Explanation|Example,Mathematics,Profit and Loss
What is ratio and proportion?,Definition,Mathematics,Ratio and Proportion
Explain ratio and proportion with an example,Explanation|Example,Mathematics,Ratio and Proportion
Solve this ratio problem,Problem Solving,Mathematics,Ratio and Proportion
What is average?,Definition,Mathematics,Average
Explain average and solve an example,Explanation|Problem Solving,Mathematics,Average
What is simple interest?,Definition,Mathematics,Simple Interest
Give the formula for simple interest and solve an example,Definition|Problem Solving,Mathematics,Simple Interest
What is compound interest?,Definition,Mathematics,Compound Interest
Explain compound interest and solve a problem,Explanation|Problem Solving,Mathematics,Compound Interest
What is probability?,Definition,Mathematics,Probability
Explain probability with an example,Explanation|Example,Mathematics,Probability
What is Python?,Definition,Python,Python Basics
Explain Python variables,Explanation,Python,Variables
What are Python conditions?,Definition,Python,Conditions
Explain Python loops with an example,Explanation|Example,Python,Loops
What are Python functions?,Definition,Python,Functions
Explain Python functions and give an example,Explanation|Example,Python,Functions
What are Python lists?,Definition,Python,Lists
Compare Python lists and dictionaries,Comparison,Python,Lists and Dictionaries
What are Python dictionaries?,Definition,Python,Dictionaries
Explain dictionaries with an example,Explanation|Example,Python,Dictionaries
